"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Private","Assoc acdm","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Local gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"State gov","Some college","Divorced","Executive","Unmarried","White"," Male","<= 50K USD"
"State gov","Bachelors","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Mechanic","Not in family","White"," Male","<= 50K USD"
"Local gov","Assoc voc","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","Asian"," Male","<= 50K USD"
"Private","HS grad","Divorced","Executive","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","12th","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"State gov","Some college","Married spouse absent","Admin","Unmarried","Asian"," Female","<= 50K USD"
"State gov","Bachelors","Divorced","Admin","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Private house service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","5th to 6th","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Other service","Other","White"," Male","<= 50K USD"
"State gov","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Federal gov","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Male","> 50K USD"
"Private","7th to 8th","Married to civilian","Craft and Repair","Husband","Asian"," Male","<= 50K USD"
"Private","Some college","Separated","Transportation","Unmarried","White"," Male","> 50K USD"
"Private","HS grad","Separated","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Admin","Not in family","Black"," Female","<= 50K USD"
"Private","Bachelors","Never married","Executive","Own child","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married spouse absent","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Local gov","Bachelors","Never married","Prof specialty","Other","White"," Female","<= 50K USD"
"Private","10th","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"State gov","Some college","Never married","Tech support","Own child","White"," Male","<= 50K USD"
"Private","9th","Separated","Other service","Not in family","Black"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"State gov","Bachelors","Never married","Tech support","Not in family","White"," Male","<= 50K USD"
"Private","11th","Never married","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","11th","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Separated","Sales","Unmarried","White"," Female","<= 50K USD"
"Federal gov","Some college","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Local gov","Bachelors","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Local gov","Some college","Never married","Protective service","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Other service","Other","Black"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","7th to 8th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Widowed","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Wife","White"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Self emp inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","11th","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Some college","Separated","Sales","Not in family","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Admin","Not in family","Black"," Female","<= 50K USD"
"Local gov","Masters","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","Assoc acdm","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Tech support","Not in family","White"," Male","> 50K USD"
"Self emp inc","Some college","Widowed","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","9th","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Executive","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","10th","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Federal gov","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Executive","Wife","White"," Female","<= 50K USD"
"State gov","HS grad","Divorced","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Executive","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","Other"," Male","> 50K USD"
"Private","12th","Never married","Handlers and cleaners","Own child","Native American"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Separated","Executive","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Private","Preschool","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Separated","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","12th","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Some college","Widowed","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Local gov","Masters","Never married","Prof specialty","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Protective service","Husband","Black"," Male","<= 50K USD"
"Local gov","Masters","Divorced","Prof specialty","Not in family","Black"," Male","<= 50K USD"
"Private","Some college","Divorced","Sales","Unmarried","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Assoc voc","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Mechanic","Own child","Other"," Male","<= 50K USD"
"Private","HS grad","Separated","Handlers and cleaners","Unmarried","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","Masters","Married spouse absent","Sales","Not in family","White"," Female","> 50K USD"
"Private","Assoc voc","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Executive","Not in family","Black"," Female","<= 50K USD"
"State gov","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","12th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Separated","Protective service","Own child","Black"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Wife","Black"," Female","> 50K USD"
"Private","Bachelors","Never married","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","9th","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Not in family","White"," Female","<= 50K USD"
"Private","10th","Widowed","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Other service","Wife","White"," Female","<= 50K USD"
"Private","11th","Married spouse absent","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Masters","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Admin","Unmarried","Black"," Female","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","Prof school","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","Black"," Female","<= 50K USD"
"Private","HS grad","Widowed","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Sales","Own child","White"," Female","<= 50K USD"
"State gov","10th","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","10th","Widowed","Tech support","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Federal gov","HS grad","Never married","Admin","Not in family","Black"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","10th","Separated","Other service","Not in family","White"," Female","<= 50K USD"
"Local gov","Assoc acdm","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","9th","Married spouse absent","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Local gov","Prof school","Never married","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","10th","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Local gov","Bachelors","Divorced","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Craft and Repair","Not in family","White"," Male","> 50K USD"
"Private","11th","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","10th","Divorced","Other service","Own child","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Self emp not inc","7th to 8th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Other","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Female","> 50K USD"
"Self emp inc","Masters","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Widowed","Mechanic","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Local gov","Prof school","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp inc","Some college","Divorced","Mechanic","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Assoc voc","Divorced","Tech support","Not in family","Black"," Male","<= 50K USD"
"Local gov","Bachelors","Never married","Protective service","Not in family","White"," Female","> 50K USD"
"Private","Assoc acdm","Divorced","Executive","Unmarried","Asian"," Female","<= 50K USD"
"Private","Some college","Never married","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","11th","Never married","Transportation","Other","White"," Male","<= 50K USD"
"Private","Some college","Never married","Tech support","Other","Asian"," Female","<= 50K USD"
"Private","Assoc voc","Never married","Craft and Repair","Unmarried","Native American"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"State gov","HS grad","Divorced","Craft and Repair","Own child","White"," Male","> 50K USD"
"Private","1st to 4th","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Other","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Transportation","Wife","White"," Female","> 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Husband","Asian"," Male","> 50K USD"
"Private","11th","Never married","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Never married","Executive","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Unmarried","White"," Male","<= 50K USD"
"Private","Assoc voc","Divorced","Sales","Not in family","White"," Female","> 50K USD"
"Private","Assoc acdm","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Admin","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","7th to 8th","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Own child","White"," Female","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","12th","Separated","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"State gov","Bachelors","Divorced","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","Prof school","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Prof school","Married to civilian","Transportation","Husband","Black"," Male","> 50K USD"
"Private","Bachelors","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Local gov","Masters","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","11th","Separated","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","10th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Federal gov","Masters","Married to civilian","Armed Forces","Husband","White"," Male","> 50K USD"
"Self emp inc","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Mechanic","Unmarried","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","12th","Married spouse absent","Executive","Not in family","White"," Female","<= 50K USD"
"Local gov","HS grad","Divorced","Protective service","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married spouse absent","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","11th","Widowed","Other service","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Separated","Sales","Unmarried","Asian"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","HS grad","Separated","Other service","Unmarried","Black"," Female","<= 50K USD"
"State gov","HS grad","Divorced","Admin","Other","White"," Female","<= 50K USD"
"Private","Some college","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Local gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Local gov","Bachelors","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp inc","11th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Widowed","Other service","Other","White"," Female","<= 50K USD"
"Private","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Federal gov","Some college","Divorced","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"State gov","Some college","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","7th to 8th","Married to civilian","Other service","Wife","Black"," Female","<= 50K USD"
"Local gov","9th","Divorced","Protective service","Not in family","Black"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Farming and fishing","Husband","Asian"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Self emp not inc","7th to 8th","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Local gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Never married","Craft and Repair","Unmarried","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","Black"," Female","> 50K USD"
"Private","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"State gov","Some college","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Never married","Tech support","Not in family","Black"," Female","<= 50K USD"
"Private","5th to 6th","Married spouse absent","Mechanic","Unmarried","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Other service","Not in family","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Private house service","Wife","Black"," Female","<= 50K USD"
"Private","HS grad","Widowed","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Never married","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Widowed","Other service","Other","White"," Female","<= 50K USD"
"Private","5th to 6th","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Other service","Not in family","Asian"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Other","Black"," Female","<= 50K USD"
"Self emp not inc","7th to 8th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Masters","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Admin","Husband","Black"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Federal gov","Some college","Separated","Executive","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Never married","Prof specialty","Not in family","Black"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","12th","Never married","Farming and fishing","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","11th","Married spouse absent","Sales","Own child","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","Other"," Male","<= 50K USD"
"Private","Bachelors","Separated","Prof specialty","Unmarried","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Tech support","Other","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Local gov","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Tech support","Husband","Black"," Male","> 50K USD"
"Private","Some college","Never married","Prof specialty","Own child","White"," Female","<= 50K USD"
"Self emp not inc","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Executive","Not in family","White"," Male","> 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"State gov","7th to 8th","Widowed","Handlers and cleaners","Not in family","White"," Female","<= 50K USD"
"State gov","Some college","Married to civilian","Protective service","Husband","Black"," Male","> 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","5th to 6th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Unmarried","Black"," Female","<= 50K USD"
